age,income_k,loan_amount_k,dti,fico,revolving_util,num_derog,months_employed,num_inq_6mo,home_owner,loan_purpose,credit_score,default
62,37.8,11.9,1.0,701,27.3,1,11,2,0,home_improvement,732,0
36,45.1,9.1,1.0,680,34.2,1,111,1,1,debt_consolidation,733,0
42,91.9,16.6,1.0,651,46.2,1,79,2,1,home_improvement,720,0
46,65.1,21.1,1.0,585,28.4,1,13,1,0,home_improvement,709,0
32,31.5,24.8,1.0,603,9.7,0,39,0,0,debt_consolidation,737,0
42,24.4,21.3,1.0,665,30.6,0,22,0,0,debt_consolidation,745,0
41,55.2,85.7,1.9,583,28.2,0,24,0,1,debt_consolidation,700,0
20,80.9,54.3,1.0,686,6.8,0,111,0,1,debt_consolidation,749,0
54,21.8,32.6,1.8,814,15.4,0,157,1,0,home_improvement,779,0
49,71.6,100.0,1.7,638,57.1,1,45,0,0,home_improvement,689,0
34,60.9,26.4,1.0,715,45.7,1,84,1,1,home_improvement,730,0
39,65.5,100.0,1.8,599,28.1,0,1,1,1,auto,689,1
48,164.6,16.6,1.0,701,50.5,0,26,0,1,auto,771,0
38,65.8,9.9,1.0,663,48.2,0,16,0,0,medical,753,0
39,110.2,21.0,1.0,756,54.4,0,95,0,0,medical,779,0
24,56.9,11.5,1.0,830,8.1,0,7,1,0,home_improvement,794,0
48,123.8,21.8,1.0,770,55.6,1,47,3,1,debt_consolidation,739,0
43,42.7,17.8,1.0,707,15.7,1,7,2,0,medical,734,0
45,55.1,41.0,1.0,556,39.3,0,18,0,1,medical,710,0
23,60.5,20.9,1.0,772,52.0,1,12,0,0,auto,754,1
61,69.7,40.7,1.0,739,43.0,0,43,0,1,home_improvement,756,0
43,54.8,67.1,1.5,692,54.4,1,16,2,1,home_improvement,697,0
37,22.1,8.2,1.0,714,32.9,1,38,2,1,debt_consolidation,729,0
66,73.8,56.6,1.0,634,15.6,0,10,2,1,home_improvement,715,0
