employee_id,week,dept,hourly_rate,hours,ot_hours,rounded_to,long_week_flag,gross
E001,1,HR,26.46,30.0,0.0,15,0,793.81
E001,2,HR,26.46,28.0,0.0,1,0,740.89
E001,3,HR,26.46,30.0,0.0,15,0,793.81
E001,4,HR,26.46,44.0,4.0,1,0,1164.25
E001,5,HR,26.46,39.0,0.0,1,0,1031.95
E001,6,HR,26.46,43.0,3.0,1,0,1137.79
E001,7,HR,26.46,32.0,0.0,1,0,846.73
E001,8,HR,26.46,37.0,0.0,1,0,979.03
E001,9,HR,26.46,37.0,0.0,1,0,979.03
E001,10,HR,26.46,30.0,0.0,6,0,793.81
E001,11,HR,26.46,30.0,0.0,15,0,793.81
E001,12,HR,26.46,49.0,9.0,1,0,1296.55
E001,13,HR,26.46,44.0,4.0,1,0,1164.25
E001,14,HR,26.46,45.0,5.0,15,0,1190.71
E001,15,HR,26.46,42.0,2.0,6,0,1111.33
E001,16,HR,26.46,42.0,2.0,6,0,1111.33
E001,17,HR,26.46,42.0,2.0,6,0,1111.33
E001,18,HR,26.46,45.0,5.0,15,0,1190.71
E001,19,HR,26.46,34.0,0.0,1,0,899.65
E001,20,HR,26.46,43.0,3.0,1,0,1137.79
E001,21,HR,26.46,45.0,5.0,1,0,1190.71
E001,22,HR,26.46,43.0,3.0,1,0,1137.79
E001,23,HR,26.46,45.0,5.0,15,0,1190.71
E001,24,HR,26.46,45.0,5.0,15,0,1190.71
E001,25,HR,26.46,45.0,5.0,15,0,1190.71
E001,26,HR,26.46,44.0,4.0,1,0,1164.25
E002,1,Warehouse,36.39,45.0,5.0,15,0,1637.74
E002,2,Warehouse,36.39,30.0,0.0,15,0,1091.83
E002,3,Warehouse,36.39,40.0,0.0,1,0,1455.77
E002,4,Warehouse,36.39,39.0,0.0,1,0,1419.38
E002,5,Warehouse,36.39,48.0,8.0,6,0,1746.93
E002,6,Warehouse,36.39,37.0,0.0,1,0,1346.59
E002,7,Warehouse,36.39,30.0,0.0,15,0,1091.83
E002,8,Warehouse,36.39,38.0,0.0,1,0,1382.98
E002,9,Warehouse,36.39,39.0,0.0,1,0,1419.38
E002,10,Warehouse,36.39,45.0,5.0,15,0,1637.74
E002,11,Warehouse,36.39,45.0,5.0,15,0,1637.74
E002,12,Warehouse,36.39,45.0,5.0,1,0,1637.74
E002,13,Warehouse,36.39,48.0,8.0,6,0,1746.93
E002,14,Warehouse,36.39,42.0,2.0,6,0,1528.56
E002,15,Warehouse,36.39,31.0,0.0,1,0,1128.22
E002,16,Warehouse,36.39,46.0,6.0,1,0,1674.14
E002,17,Warehouse,36.39,38.0,0.0,1,0,1382.98
E002,18,Warehouse,36.39,46.0,6.0,1,0,1674.14
E002,19,Warehouse,36.39,43.0,3.0,1,0,1564.96
E002,20,Warehouse,36.39,45.0,5.0,15,0,1637.74
E002,21,Warehouse,36.39,30.0,0.0,15,0,1091.83
E002,22,Warehouse,36.39,38.0,0.0,1,0,1382.98
E002,23,Warehouse,36.39,27.0,0.0,1,0,982.65
E002,24,Warehouse,36.39,45.0,5.0,15,0,1637.74
E002,25,Warehouse,36.39,36.0,0.0,6,0,1310.2
E002,26,Warehouse,36.39,36.0,0.0,6,0,1310.2
E003,1,Sales,33.08,41.0,1.0,1,0,1356.11
E003,2,Sales,33.08,30.0,0.0,6,0,992.27
E003,3,Sales,33.08,45.0,5.0,1,0,1488.41
E003,4,Sales,33.08,45.0,5.0,1,0,1488.41
E003,5,Sales,33.08,42.0,2.0,6,0,1389.18
E003,6,Sales,33.08,42.0,2.0,6,0,1389.18
E003,7,Sales,33.08,44.0,4.0,1,0,1455.33
E003,8,Sales,33.08,45.0,5.0,15,0,1488.41
E003,9,Sales,33.08,42.0,2.0,6,0,1389.18
E003,10,Sales,33.08,41.0,1.0,1,0,1356.11
E003,11,Sales,33.08,36.0,0.0,6,0,1190.73
E003,12,Sales,33.08,37.0,0.0,1,0,1223.8
E003,13,Sales,33.08,39.0,0.0,1,0,1289.96
E003,14,Sales,33.08,40.0,0.0,1,0,1323.03
E003,15,Sales,33.08,29.0,0.0,1,0,959.2
E003,16,Sales,33.08,45.0,5.0,15,0,1488.41
E003,17,Sales,33.08,39.0,0.0,1,0,1289.96
E003,18,Sales,33.08,42.0,2.0,6,0,1389.18
E003,19,Sales,33.08,30.0,0.0,15,0,992.27
E003,20,Sales,33.08,30.0,0.0,6,0,992.27
E003,21,Sales,33.08,36.0,0.0,6,0,1190.73
E003,22,Sales,33.08,43.0,3.0,1,0,1422.26
E003,23,Sales,33.08,36.0,0.0,6,0,1190.73
E003,24,Sales,33.08,30.0,0.0,6,0,992.27
E003,25,Sales,33.08,35.0,0.0,1,0,1157.65
