wage,years_exp,edu,gender,industry
24.772704112987938,0,14,1,health
48.98727570191058,20,12,1,retail
49.109845818360014,17,16,0,public
32.816115166550276,1,18,1,public
56.51413296378402,27,14,1,retail
25.70796302760142,6,14,1,retail
25.26554729233689,7,12,1,public
24.297144707868778,5,12,0,retail
36.08713420594121,10,12,0,health
43.29580753072885,5,16,1,tech
39.97508358944007,10,14,1,tech
63.20307654753834,24,18,1,health
38.93392610292876,13,14,0,tech
58.31132426535538,27,16,1,retail
49.70339812098179,13,16,1,health
29.368882861620786,8,14,0,retail
45.3733420147241,23,14,0,retail
54.13854410255026,24,14,1,health
57.22083829818797,25,18,1,retail
57.03034950868037,26,12,1,health
40.032275381646976,0,18,1,tech
44.566398174627885,15,14,0,health
27.5665587776736,8,16,0,retail
30.849476382412924,7,14,1,retail
30.952832791008873,7,14,1,retail
60.34989187191795,24,16,0,public
51.77037855207271,23,18,0,retail
28.116783794392333,6,14,0,retail
46.659963437801586,12,16,1,tech
51.228924154770546,22,14,0,health
26.262912255772875,4,14,1,retail
49.87684469258515,18,18,1,retail
50.618098564561436,13,18,0,tech
67.81925682581361,27,18,1,health
59.20562123919346,22,18,1,health
41.49406458185469,6,18,1,public
60.45916043605486,25,16,1,public
50.82576735058348,23,14,0,public
30.511559847777743,6,14,1,retail
46.96907868816375,15,14,0,tech
52.012673790037404,23,14,0,retail
30.740803587605043,6,16,1,retail
36.3304933667415,7,18,0,public
32.72153911652218,4,16,1,public
24.204704351652936,0,16,0,public
36.76896400202055,14,14,0,retail
25.763772742910962,0,16,0,health
42.21849082130349,17,16,1,public
39.051822252053256,12,16,1,retail
27.142831485893087,5,16,1,public
43.20599283336617,10,14,1,health
18.754352641848445,0,12,1,public
30.879749406434712,4,16,1,health
36.695582894371995,14,16,0,health
33.138546569346715,2,16,1,public
43.10975880462981,21,12,0,public
26.35413210051768,7,16,0,retail
53.9429425334243,27,14,1,retail
25.08659125378713,5,12,0,health
45.081663153608766,18,14,1,public
37.47162378595303,15,12,0,health
53.434429583957076,27,14,0,retail
41.5583402245568,18,14,0,retail
59.72030504356956,25,18,1,health
44.135493656267,13,16,0,public
37.13845918951621,6,16,1,health
26.91153569042582,5,12,1,health
53.04431351335768,25,14,0,health
29.193465965580298,6,14,0,public
53.292977163036255,21,18,1,public
47.97217093280416,15,18,0,health
40.356705584249276,8,18,0,health
42.40048331659306,12,16,0,health
61.016739170956235,23,16,1,public
45.183671017877195,13,16,0,tech
63.926086477687264,25,16,1,tech
62.69717617613545,28,16,1,public
37.263403112099425,8,14,1,tech
48.958351190997554,15,16,1,health
38.211771616906205,15,12,1,health
44.81201233069343,16,14,0,retail
30.777138201744716,2,14,1,public
33.51269547334577,11,14,0,retail
46.17853657850205,17,14,1,health
57.47607442096147,27,14,1,health
38.78635515721808,7,18,0,public
33.258759294188124,19,12,0,retail
51.47595777168289,22,14,1,health
54.31762104519928,27,14,0,health
43.097348412442436,5,18,1,tech
57.199377530888974,20,16,1,tech
33.64317792529448,9,16,0,public
54.261652571747334,13,18,1,tech
28.745340616111978,0,16,0,retail
53.35485251479318,21,16,1,retail
23.648076926501307,0,14,0,health
38.806555679197984,11,16,0,public
41.85886113415589,14,14,1,public
47.66970908487044,20,16,0,health
34.47640213656426,14,14,0,retail
52.13942699280941,25,12,1,health
31.561113681064576,3,14,1,health
34.70179613758848,7,16,0,public
39.63453926920572,7,18,1,retail
30.5780255103964,11,14,1,health
34.29867832759128,0,16,1,tech
42.417948906574644,12,16,0,health
40.97039291385483,11,14,1,public
58.95855214752293,17,18,0,tech
50.73063186910196,17,16,1,tech
37.59404233663146,8,16,1,public
31.754619810075642,12,12,1,public
40.40126687322479,15,16,0,public
56.383330638524825,25,16,0,retail
26.79620138268729,2,16,0,retail
52.299067447965825,18,16,1,public
22.653325021176133,2,16,0,retail
38.081638909921026,7,16,1,health
35.04723963054754,13,14,0,public
47.013129034466296,24,12,1,health
39.446444664016944,10,16,1,tech
43.79523647696011,14,16,0,retail
41.630967797712444,17,16,0,retail
39.44195217251598,22,12,0,retail
47.39774930978004,11,16,1,tech
35.927015505071125,16,12,0,retail
59.16571268563148,25,14,1,tech
40.49265958383636,13,16,1,public
63.84185665319935,28,14,1,public
45.166360841291926,11,14,1,tech
50.949178865002985,12,18,1,retail
15.58565925404288,0,14,0,retail
43.2674292647436,15,14,0,tech
32.82506991551363,14,12,0,health
37.92527500842343,12,16,0,health
56.04005196647745,18,16,1,tech
46.9336281434793,16,14,1,health
64.85557623731044,28,16,0,tech
36.85481100886483,12,12,0,retail
41.69884780727104,13,12,0,tech
49.87340096891943,24,16,0,retail
34.069558033198746,14,12,0,retail
41.680983956884795,7,18,1,public
44.42130890734276,15,16,0,retail
44.55924695956466,15,14,1,public
45.503186824605024,12,14,0,tech
43.30528252741479,15,12,0,tech
54.81356612888816,17,16,1,health
66.90780329453997,29,18,0,health
27.497175113467996,2,16,0,tech
59.306398054317526,27,16,0,retail
34.29354498115307,14,14,0,retail
35.28601469594486,11,14,1,public
45.199766200281786,18,12,1,tech
27.640486059181267,3,16,0,public
60.35980463067186,22,16,1,tech
30.70052080739818,2,16,0,public
36.307284899259685,12,12,1,retail
25.539085228161408,6,12,0,retail
33.63924037245594,9,14,0,health
51.09739779023311,14,16,1,health
24.584164280329116,0,16,0,public
62.77556813890638,26,16,0,tech
38.00227185175467,22,12,0,retail
48.983989704915246,28,14,0,retail
18.81335865788556,2,12,0,public
30.902680449539442,5,14,0,health
46.794260452238966,14,16,1,public
47.34210736097167,25,16,0,health
38.49824009349272,9,16,0,public
35.950510724077816,8,14,1,tech
59.339206902101616,25,12,1,tech
28.603048739417048,0,16,0,public
58.829397816581356,28,16,1,public
26.944945255034945,5,12,1,retail
35.89986784557113,9,16,0,retail
32.156700975928,9,16,1,retail
67.27200242688802,26,18,1,tech
44.30994747122056,24,12,0,health
34.795652195150396,10,14,1,retail
39.390743096614116,10,14,0,tech
44.600469744386466,24,12,0,retail
32.8372278274543,8,12,1,public
57.928409140025124,23,16,1,public
53.55317998701947,24,14,0,health
41.80429017926185,19,14,0,public
46.68934866718659,22,12,0,tech
40.906953690415655,6,18,1,health
39.741684778861725,16,16,0,health
34.94601769039609,4,14,1,health
23.525223267462792,1,16,1,public
41.84636031720301,12,16,0,retail
27.352586780817603,8,14,0,public
30.379270044535566,4,16,0,tech
47.341998069286106,15,16,1,public
63.84018587006534,26,16,1,health
34.20263682081875,7,14,0,tech
32.88976449790845,5,16,1,retail
50.54236067006916,26,14,0,health
27.31098247045922,0,16,0,health
38.9722556503687,17,14,0,public
37.749318220894075,16,12,0,health
39.68990627284695,14,14,1,retail
39.241850832124875,12,12,0,tech
30.255164668205452,0,16,1,retail
53.15162538856037,25,14,0,public
31.520237760838516,2,14,1,tech
23.568807658643266,4,14,1,public
59.300084878641805,26,14,1,public
41.01609978557667,10,18,1,retail
47.074415685389766,13,18,0,tech
48.323424732734466,19,16,1,retail
44.694011666781904,16,18,0,retail
55.698734338170325,27,14,1,retail
48.926985155678196,28,12,0,public
32.89217715404277,7,14,0,public
41.19385508707954,22,12,0,health
47.06245946633581,20,12,1,tech
31.534351954722215,7,18,0,health
30.1585012170919,4,12,1,tech
59.69512906084105,24,14,0,tech
46.532850589520486,22,12,0,tech
39.58909980817699,11,16,1,public
30.98107402681358,8,14,0,health
45.733922783469836,20,12,0,health
31.393426403579213,7,14,0,retail
32.522494681442545,13,12,0,tech
42.19457424265469,6,18,0,tech
49.59087087932032,18,14,1,retail
29.790842777575335,11,12,0,health
51.09923263492692,19,16,0,tech
31.4412723702407,9,16,0,retail
49.65068744848107,18,16,0,tech
39.737603167638646,18,14,0,health
46.602358570639396,13,16,0,tech
37.98351411776931,16,14,0,public
31.414286199417145,5,16,0,public
50.80356411987554,22,14,0,tech
52.29816970674073,21,14,1,tech
